company_id,churn_flag,plan_tier,billing_cycle,industry,acquisition_channel,mrr,total_tickets,serious_tickets,avg_satisfaction_score,total_events,total_active_users,lifespan_days,champion_reliance_percentage,late_window_events,early_window_events
COMP-0066,N,starter,annual,Retail,paid,481.47,3,0,3.5000,531,6,291,19.5900,119,223
COMP-0067,N,enterprise,monthly,Retail,referral,4993.31,6,1,3.7500,2355,39,546,3.1000,267,551
COMP-0068,N,starter,monthly,Retail,referral,499.62,4,1,3.6667,560,2,317,52.6800,115,211
COMP-0069,Y,professional,monthly,Manufacturing,paid,1716,11,8,2.6250,204,19,382,9.3100,9,49
COMP-0070,N,enterprise,annual,Consulting,organic,5918.68,1,0,,2491,2,546,50.1800,270,598
COMP-0071,N,starter,annual,Non-Profit,referral,448.12,1,0,5.0000,952,2,546,50.4200,104,191
COMP-0072,N,starter,annual,Manufacturing,organic,229.62,5,1,4.0000,1024,3,546,36.0400,105,220
COMP-0073,N,enterprise,monthly,Government,partner,4406.89,6,2,3.7500,2409,43,546,2.8600,292,525
COMP-0074,N,professional,monthly,Legal,direct,828.99,7,3,3.1667,1569,4,546,25.8100,181,320
COMP-0075,N,starter,annual,Technology,direct,254.7,4,2,3.0000,964,3,546,35.8900,106,222
COMP-0076,N,professional,annual,Education,direct,1072.37,6,1,4.2000,1713,24,546,5.1400,185,360
COMP-0077,N,professional,monthly,Non-Profit,referral,1593.43,5,1,3.7500,467,13,153,8.9900,186,281
COMP-0078,N,starter,monthly,Energy,referral,406.33,7,1,2.8333,687,2,379,51.5300,122,193
COMP-0079,N,professional,annual,Finance,partner,1011.15,3,0,3.0000,1216,26,395,4.6900,184,368
COMP-0080,N,enterprise,annual,Manufacturing,direct,8787.25,1,0,4.0000,2504,53,546,2.6400,280,514
COMP-0081,N,professional,annual,Technology,referral,1915.87,1,0,3.0000,1631,2,546,51.2600,190,364
COMP-0082,N,professional,monthly,Legal,referral,1638.78,2,0,3.0000,1625,6,546,18.1500,183,338
COMP-0083,N,starter,monthly,Media,direct,393.77,7,2,3.5714,957,4,546,26.1200,112,217
COMP-0084,N,starter,monthly,Non-Profit,organic,482.69,7,3,2.7143,985,5,545,21.1200,114,219
COMP-0085,N,enterprise,annual,Non-Profit,partner,3095.88,10,3,4.0000,2452,24,546,5.0200,276,550
COMP-0086,N,enterprise,annual,Manufacturing,referral,7784.84,2,1,3.0000,2520,20,546,5.8700,287,551
COMP-0087,N,enterprise,monthly,Legal,direct,3356.72,7,2,3.5000,1886,49,425,2.6500,258,520
COMP-0088,N,professional,annual,Technology,organic,1844.83,3,0,4.0000,1721,12,546,9.2400,175,406
COMP-0089,Y,starter,monthly,Legal,organic,390.13,10,5,2.2500,1,1,0,100.0000,1,0
COMP-0090,N,starter,annual,Finance,organic,326.94,7,2,3.8333,993,4,545,26.5900,103,234
COMP-0091,N,professional,annual,Non-Profit,organic,1767.38,4,0,3.5000,1619,2,546,51.1400,168,358
COMP-0092,N,starter,monthly,Finance,partner,434.12,4,1,3.3333,978,3,546,34.8700,116,220
COMP-0093,N,enterprise,annual,Non-Profit,direct,6402.67,8,2,3.2857,2498,35,546,3.6400,258,554
COMP-0094,N,starter,monthly,Non-Profit,paid,300.19,3,0,4.5000,408,5,228,21.3200,94,214
COMP-0095,N,starter,monthly,Non-Profit,partner,472.54,6,3,3.1667,975,3,544,34.8700,117,209
COMP-0096,N,starter,monthly,Consulting,organic,308.78,1,0,3.0000,1039,3,546,35.9000,95,237
COMP-0097,N,enterprise,monthly,Legal,paid,5380.23,8,5,3.5000,2435,25,546,5.1300,275,549
COMP-0098,Y,starter,annual,Education,organic,383.5,12,9,2.2500,36,2,171,55.5600,6,30
COMP-0099,N,starter,annual,Logistics,paid,283.07,4,2,2.5000,989,5,546,21.3300,119,201
COMP-0100,N,professional,monthly,Logistics,paid,1100.9,5,1,4.2500,1661,3,546,33.5900,174,356
COMP-0101,N,enterprise,annual,Consulting,paid,7989.15,1,0,5.0000,2456,4,546,27.1200,262,544
COMP-0102,N,starter,annual,Consulting,referral,217.87,4,0,2.6667,991,3,546,35.6200,106,217
COMP-0103,N,enterprise,annual,Finance,paid,7523.51,8,2,3.7500,2523,10,546,10.9400,292,508
COMP-0104,Y,professional,monthly,Media,referral,1874.13,8,7,3.3333,126,20,231,8.7300,11,67
COMP-0105,N,professional,monthly,Technology,organic,1486.91,1,0,4.0000,1567,26,525,5.0400,184,356
COMP-0106,N,professional,annual,Logistics,organic,1897.55,3,1,4.5000,1524,4,503,26.5100,171,345
COMP-0107,N,professional,annual,Finance,organic,2068.7,5,1,5.0000,1600,11,546,9.9400,189,355
COMP-0108,Y,professional,monthly,Technology,organic,1962.51,11,9,2.3333,119,21,239,8.4000,7,74
COMP-0109,N,starter,monthly,Retail,partner,434.61,3,0,4.6667,279,6,168,20.7900,104,175
COMP-0110,N,professional,monthly,Hospitality,organic,2121.87,4,2,4.0000,969,14,298,8.2600,193,374
COMP-0111,N,professional,monthly,Finance,partner,1442.45,4,1,4.0000,1646,4,545,26.3100,176,354
COMP-0112,N,professional,monthly,Finance,organic,1751.34,1,0,3.0000,1645,10,545,11.9100,179,376
COMP-0113,N,professional,monthly,Education,organic,1443.94,3,2,4.3333,743,2,237,50.4700,175,375
COMP-0114,Y,professional,monthly,Retail,paid,734.2,5,0,3.0000,113,9,223,16.8100,6,65
COMP-0115,N,starter,monthly,Energy,organic,178.56,4,1,4.6667,1009,2,545,51.2400,118,199
COMP-0116,N,enterprise,monthly,Non-Profit,partner,7432.47,3,1,4.3333,2519,19,546,6.2300,248,541
COMP-0117,Y,starter,monthly,Technology,organic,166.71,7,4,3.2000,162,4,441,27.7800,6,49
COMP-0118,N,professional,monthly,Legal,paid,1164.51,5,2,3.6667,1630,3,546,33.8000,179,345
COMP-0119,N,starter,monthly,Manufacturing,referral,493.36,5,3,2.8000,649,2,364,55.6200,103,216
COMP-0120,N,starter,monthly,Manufacturing,organic,374.98,7,3,3.6667,557,3,309,35.0100,113,204
COMP-0121,N,starter,monthly,Media,partner,460.03,5,1,4.5000,502,2,283,52.3900,116,219
COMP-0122,N,starter,annual,Energy,paid,379.51,6,2,4.0000,996,2,546,52.2100,92,214
COMP-0123,Y,professional,monthly,Consulting,direct,1430.84,5,2,1.8000,179,19,304,7.8200,5,68
COMP-0124,Y,professional,monthly,Real Estate,referral,1281.79,8,4,2.1250,292,18,475,7.8800,11,55
COMP-0125,N,starter,annual,Legal,organic,430.38,6,0,4.0000,994,6,544,17.6100,123,237
COMP-0126,N,enterprise,monthly,Legal,organic,6187.09,8,2,3.6667,2462,79,546,1.9900,263,551
COMP-0127,N,starter,annual,Manufacturing,paid,189.71,1,1,5.0000,1016,4,544,27.1700,97,228
COMP-0128,N,starter,annual,Real Estate,referral,499.52,6,3,4.1667,1007,2,544,50.3500,119,211
COMP-0129,N,professional,annual,Hospitality,referral,1064.58,5,2,4.6667,570,2,182,50.1800,199,365
COMP-0130,N,starter,monthly,Government,paid,426.63,4,1,3.7500,1037,2,546,50.1400,114,222
COMP-0131,N,enterprise,annual,Real Estate,organic,7499.57,2,0,4.0000,2458,24,546,5.1300,305,521
COMP-0132,N,starter,annual,Non-Profit,referral,355.73,6,0,4.5000,590,5,324,21.0200,125,219
COMP-0133,N,starter,monthly,Energy,referral,271.11,3,0,4.0000,922,4,506,27.3300,119,199
COMP-0134,N,professional,monthly,Non-Profit,referral,1546.89,2,0,4.0000,1625,21,546,5.7200,178,330
COMP-0135,N,professional,annual,Legal,organic,1622.39,2,0,3.0000,817,2,267,51.4100,189,370
COMP-0136,N,professional,annual,Retail,paid,1264.99,5,1,3.2000,1657,14,546,8.2100,189,369
COMP-0137,Y,professional,monthly,Government,paid,796.04,11,6,2.7143,297,12,518,11.7800,10,59
COMP-0138,N,starter,monthly,Consulting,direct,313.39,6,0,3.0000,1003,3,545,34.5000,104,250
COMP-0139,Y,starter,monthly,Real Estate,referral,445,11,5,1.8889,2,1,5,100.0000,2,0
COMP-0140,N,starter,monthly,Hospitality,referral,276.88,5,0,3.6667,964,3,546,35.1700,106,234
COMP-0141,N,starter,annual,Real Estate,organic,478.63,3,1,3.0000,1032,5,545,20.9300,132,221
COMP-0142,N,enterprise,monthly,Technology,paid,8305.36,9,2,3.8889,2520,20,546,5.7900,306,549
COMP-0143,N,professional,monthly,Legal,partner,1189.37,4,1,3.7500,1630,22,546,5.2800,189,378
COMP-0144,N,enterprise,annual,Logistics,partner,6254.62,3,1,4.3333,2434,35,546,3.6200,286,511
COMP-0145,N,starter,annual,Non-Profit,paid,156.63,5,3,3.0000,979,3,545,34.4200,120,215
COMP-0146,N,professional,monthly,Consulting,referral,2197,1,0,,1716,6,546,17.1300,209,374
COMP-0147,N,professional,monthly,Media,paid,1492.94,2,0,3.5000,1221,8,394,13.9200,200,386
COMP-0148,N,professional,annual,Government,partner,1060.46,6,2,3.8333,1753,2,546,53.2800,196,386
COMP-0149,N,enterprise,monthly,Consulting,direct,6763.82,7,1,3.4000,2403,3,546,33.6200,294,488
COMP-0150,N,starter,annual,Retail,referral,373.28,6,1,3.2000,960,2,545,51.2500,97,203
COMP-0151,N,professional,annual,Healthcare,direct,1363.92,5,3,3.2000,1226,8,399,14.5200,158,367
COMP-0152,N,professional,annual,Non-Profit,direct,2061.17,7,2,4.0000,1662,8,546,13.6600,196,397
COMP-0153,N,enterprise,monthly,Technology,referral,3197.45,5,2,3.0000,2433,7,546,16.0700,272,549
COMP-0154,N,enterprise,monthly,Hospitality,partner,6713.85,6,3,3.2500,2496,95,546,1.4400,275,571
COMP-0155,N,enterprise,monthly,Legal,paid,6850.16,1,0,4.0000,1312,9,302,11.8900,245,529
COMP-0156,N,enterprise,annual,Education,organic,7198.74,1,1,5.0000,2472,2,546,50.8900,248,560
COMP-0157,N,professional,annual,Technology,direct,1831.75,4,1,3.2500,1700,25,546,5.0600,175,357
COMP-0158,N,professional,annual,Education,organic,1478.78,7,2,3.5000,645,18,206,7.2900,208,367
COMP-0159,Y,starter,annual,Logistics,paid,341.68,10,4,2.0000,44,5,174,27.2700,6,36
COMP-0160,Y,starter,monthly,Media,partner,308.7,5,1,3.0000,72,4,231,30.5600,8,30
COMP-0161,N,professional,annual,Government,paid,1151.25,4,0,3.6667,1605,5,546,21.0600,185,339
COMP-0162,N,enterprise,annual,Healthcare,direct,6698.23,6,3,4.3333,2528,35,546,3.7600,271,588
COMP-0163,N,professional,monthly,Hospitality,paid,1459.61,7,3,3.0000,1602,5,546,21.7200,196,383
COMP-0164,Y,professional,annual,Logistics,paid,1153.86,5,1,2.7500,189,12,367,13.2300,3,58
COMP-0165,N,professional,monthly,Logistics,referral,1995.54,1,0,4.0000,953,11,341,10.3900,180,354
COMP-0166,N,starter,annual,Real Estate,referral,352.12,2,1,4.0000,1030,2,546,51.3600,117,220
COMP-0167,N,starter,annual,Hospitality,referral,407.32,6,1,3.5000,990,3,546,35.3500,99,214
COMP-0168,N,professional,monthly,Technology,paid,1460.69,4,2,4.0000,1172,2,393,51.3700,169,356
COMP-0169,N,professional,monthly,Finance,paid,925.34,5,2,4.0000,1638,13,546,9.2200,184,388
COMP-0170,N,professional,annual,Healthcare,direct,901.06,1,1,3.0000,1656,5,546,20.9500,159,350
COMP-0171,N,enterprise,monthly,Education,direct,5612.99,4,0,4.5000,2484,14,546,7.8100,279,541
COMP-0172,N,professional,annual,Education,organic,1175.43,2,1,4.5000,1653,8,546,14.7600,187,356
COMP-0173,N,professional,monthly,Manufacturing,paid,1017.24,1,0,,1687,20,546,6.4600,180,366
COMP-0174,N,professional,annual,Education,referral,1011.72,5,2,4.2500,1630,25,546,5.4000,210,356
COMP-0175,N,starter,annual,Government,direct,485.03,4,1,2.7500,974,2,546,52.1600,115,222
COMP-0176,N,starter,monthly,Non-Profit,paid,309.6,6,1,4.0000,1002,2,546,50.6000,121,215
COMP-0177,N,starter,annual,Technology,referral,250.34,1,0,4.0000,315,4,201,25.4000,102,171
COMP-0178,N,starter,annual,Hospitality,organic,274.05,7,2,4.0000,959,6,546,17.8300,116,188
COMP-0179,N,professional,annual,Media,referral,1973.15,1,0,,1615,11,545,10.5900,173,390
COMP-0180,N,starter,annual,Real Estate,referral,265.94,3,1,5.0000,463,3,275,35.8500,107,204
COMP-0181,Y,enterprise,annual,Education,organic,6029.7,11,5,2.2222,35,28,114,8.5700,15,20
COMP-0182,N,professional,annual,Logistics,referral,1464.9,4,1,3.2500,1390,15,475,7.7700,165,350
COMP-0183,N,starter,monthly,Government,partner,269.21,6,2,4.3333,986,3,546,34.6900,92,206
COMP-0184,N,starter,annual,Manufacturing,organic,387.89,7,2,3.6667,955,5,546,20.9400,109,198
COMP-0185,N,professional,annual,Government,partner,1106.69,2,1,3.5000,1619,3,546,36.0700,173,363
COMP-0186,N,professional,annual,Logistics,organic,765.27,2,1,5.0000,1645,5,546,21.8200,159,375
COMP-0187,N,starter,monthly,Logistics,direct,466.82,5,1,3.0000,1064,2,546,50.1900,123,226
COMP-0188,N,starter,monthly,Finance,organic,254.91,7,2,4.1667,977,3,546,33.7800,107,202
COMP-0189,N,professional,monthly,Government,paid,1233.11,2,1,,1650,6,546,17.2700,187,332
COMP-0190,N,professional,monthly,Consulting,organic,1110.62,5,2,4.0000,1659,26,546,4.9400,210,345
COMP-0191,Y,starter,annual,Logistics,paid,499.04,10,5,2.6250,117,3,377,35.0400,5,35
COMP-0192,N,starter,monthly,Media,organic,203.95,3,1,4.0000,922,3,509,34.0600,100,185
COMP-0193,N,professional,annual,Legal,organic,2032.8,6,2,4.6000,1638,12,546,9.6500,161,354
COMP-0194,N,professional,annual,Education,referral,2146.9,5,3,3.3333,1031,12,326,9.4100,180,373
COMP-0195,N,professional,monthly,Healthcare,partner,1541.74,6,1,3.2000,1609,12,546,9.5700,167,350
COMP-0196,N,starter,monthly,Retail,partner,332.39,7,2,3.2000,982,3,546,33.9100,105,222
COMP-0197,N,starter,monthly,Media,paid,430.02,7,4,3.3333,1021,3,546,36.3400,119,212
COMP-0198,N,professional,monthly,Manufacturing,referral,1232.93,7,2,2.6667,1554,12,546,9.4000,177,342
COMP-0199,N,starter,annual,Consulting,partner,352.07,1,1,4.0000,810,4,451,26.1700,99,226
COMP-0200,N,professional,annual,Education,referral,1578.09,5,1,4.0000,1632,16,546,7.6600,177,355
COMP-0201,N,professional,monthly,Legal,paid,787.12,4,1,3.5000,1592,6,546,18.6600,164,355
COMP-0202,N,professional,monthly,Legal,direct,2089.11,3,1,3.5000,1648,4,546,27.0000,199,346
COMP-0203,N,enterprise,monthly,Finance,paid,4995.64,3,3,4.0000,2473,65,546,2.1000,276,549
COMP-0204,N,professional,annual,Media,paid,652.31,6,1,3.6667,1593,3,546,34.5300,204,372
COMP-0205,N,starter,monthly,Legal,direct,339.72,5,3,3.0000,1043,3,545,33.4600,109,229
COMP-0206,N,professional,monthly,Consulting,partner,1302.51,4,0,4.6667,1318,6,425,17.6000,198,375
COMP-0207,Y,starter,monthly,Government,paid,222.43,10,6,1.8750,82,2,246,53.6600,3,43
COMP-0208,N,starter,annual,Government,organic,170.75,1,0,4.0000,963,2,482,51.9200,131,223
COMP-0209,N,enterprise,annual,Finance,organic,6253.27,4,2,3.5000,2492,34,546,3.7300,270,545
COMP-0210,N,professional,annual,Non-Profit,organic,1380.87,3,1,3.0000,1610,18,546,6.9600,179,374
COMP-0211,N,starter,monthly,Media,paid,243.99,1,1,4.0000,990,7,546,15.8600,113,202
COMP-0212,Y,starter,annual,Legal,partner,155.7,7,4,2.8333,211,6,530,20.3800,9,45
COMP-0213,N,starter,monthly,Government,paid,382.58,2,0,3.0000,1008,4,545,26.2900,90,219
COMP-0214,N,starter,monthly,Government,paid,229.17,7,2,3.8000,991,4,546,27.9500,122,224
COMP-0215,Y,starter,monthly,Energy,partner,185.85,12,6,2.6000,142,3,412,35.2100,5,48
COMP-0216,N,professional,monthly,Non-Profit,organic,940.89,7,1,3.8000,1602,26,545,4.6800,168,330
COMP-0217,N,professional,monthly,Media,direct,1103.21,3,0,4.0000,1617,8,546,13.7900,181,371
COMP-0218,N,enterprise,annual,Legal,organic,5865.37,3,1,4.0000,2476,4,546,27.1000,295,533
COMP-0219,N,professional,annual,Technology,organic,2164.32,3,1,4.0000,1538,3,479,33.8100,202,376
COMP-0220,Y,enterprise,annual,Energy,partner,2608.48,8,5,2.2857,9,6,47,22.2200,9,0
COMP-0221,N,professional,monthly,Real Estate,referral,1585.68,2,0,4.5000,1668,2,546,50.6000,201,402
COMP-0222,Y,starter,monthly,Education,direct,233.52,6,4,3.3333,95,3,311,40.0000,6,35
COMP-0223,N,professional,monthly,Retail,direct,1436.81,2,0,4.0000,1258,19,414,6.2000,174,390
COMP-0224,N,starter,monthly,Finance,organic,242.03,1,1,3.0000,986,5,546,23.1200,90,232
COMP-0225,Y,starter,annual,Manufacturing,direct,385.94,11,9,2.8889,165,2,465,50.9100,6,34
COMP-0226,N,starter,annual,Education,paid,431.09,7,1,3.3333,566,5,332,23.6700,103,221
COMP-0227,N,professional,monthly,Education,referral,684.28,1,0,3.0000,1512,6,522,18.2500,171,338
COMP-0228,N,starter,annual,Healthcare,paid,220.23,3,1,2.0000,306,3,168,34.6400,109,197
COMP-0229,N,professional,monthly,Media,partner,840.91,5,2,2.6667,1591,10,546,10.7500,197,333
COMP-0230,N,enterprise,annual,Energy,paid,5943.79,2,1,4.5000,2454,29,546,3.8700,272,551
COMP-0231,N,enterprise,monthly,Finance,referral,4921.2,4,0,3.3333,2442,93,546,1.5200,252,539
COMP-0232,N,professional,annual,Non-Profit,paid,1017.59,4,1,3.2500,988,4,345,25.7100,182,315
COMP-0233,N,starter,monthly,Government,partner,354.65,2,0,2.5000,971,3,546,33.9900,96,210
COMP-0234,N,professional,monthly,Consulting,partner,744.67,4,2,2.3333,1618,20,546,5.8100,204,359
COMP-0235,N,enterprise,monthly,Energy,paid,4442.46,10,4,3.8750,2475,43,531,3.1100,305,553
COMP-0236,Y,starter,monthly,Energy,partner,192.51,9,5,3.1667,127,2,353,51.1800,7,47
COMP-0237,N,enterprise,monthly,Non-Profit,direct,3785.38,1,0,,2445,64,546,2.1700,280,556
COMP-0238,N,starter,annual,Energy,organic,403.55,3,0,2.5000,1004,3,546,34.6600,132,203
COMP-0239,Y,starter,annual,Education,paid,253.29,11,7,1.5000,11,3,76,45.4500,7,4
COMP-0240,N,enterprise,annual,Consulting,organic,6039.37,6,1,4.2500,2452,73,546,2.0000,273,546
COMP-0241,N,starter,annual,Retail,organic,433.03,6,2,3.6000,978,4,544,26.5800,103,207
COMP-0242,N,enterprise,annual,Healthcare,referral,8887.32,9,2,3.3333,2506,42,546,3.1900,297,552
COMP-0243,N,enterprise,annual,Legal,referral,3723.52,6,2,4.2000,1384,29,294,4.4800,276,581
COMP-0244,N,professional,monthly,Finance,organic,1130.77,7,0,2.8333,1636,18,546,6.5400,173,348
COMP-0245,N,enterprise,annual,Finance,direct,8743.63,8,3,4.0000,957,55,207,2.6100,294,535
COMP-0246,N,professional,monthly,Healthcare,referral,1379.52,6,4,3.8000,1546,7,546,16.3600,159,329
COMP-0247,N,starter,annual,Hospitality,organic,212.2,5,4,3.5000,458,2,253,51.9700,114,197
COMP-0248,N,enterprise,annual,Logistics,paid,6176.08,9,2,3.8889,2431,51,546,2.4300,277,542
COMP-0249,Y,professional,monthly,Manufacturing,paid,708.47,7,6,2.1667,14,9,58,21.4300,12,2
COMP-0250,Y,starter,monthly,Finance,direct,377.84,9,6,2.7500,149,6,445,22.1500,7,25
COMP-0251,N,starter,monthly,Technology,partner,341.47,6,1,3.2000,1017,2,544,51.7200,120,232
COMP-0252,N,starter,annual,Consulting,organic,343.94,5,3,3.0000,947,2,543,51.4300,125,212
COMP-0253,Y,starter,monthly,Healthcare,organic,253.09,4,4,3.5000,1,1,0,100.0000,1,0
COMP-0254,Y,starter,monthly,Non-Profit,organic,381.36,12,8,2.7000,189,2,477,50.2600,10,41
COMP-0255,N,starter,annual,Finance,referral,202.9,5,3,4.2500,950,4,543,29.8900,106,225
COMP-0256,N,professional,annual,Logistics,partner,1269.81,4,0,3.5000,1623,7,545,15.6500,194,351
COMP-0257,N,professional,annual,Education,partner,1684.06,3,1,4.5000,1641,13,546,8.7100,189,386
COMP-0258,N,starter,annual,Finance,paid,437.9,5,1,3.7500,749,2,412,50.7300,122,216
COMP-0259,N,professional,annual,Government,organic,2067.46,2,0,4.0000,668,3,227,35.6300,178,348
COMP-0260,N,professional,annual,Logistics,direct,760.33,7,1,4.1429,1628,6,546,17.7500,195,338
COMP-0261,Y,professional,annual,Energy,organic,875.52,7,3,2.2500,271,10,478,13.6500,10,40
COMP-0262,N,enterprise,monthly,Government,partner,4469.86,9,1,3.2857,857,42,190,4.0800,284,533
