subscription_id,company_id,plan_tier,billing_cycle,start_date,end_date,churn_flag,mrr,contract_value
SUB-00291,COMP-0291,Professional,annual,2023-05-21,,N,1292.56,14734.46
SUB-00292,COMP-0292,Starter,annual,2024-02-08,,N,314.25,3292.17
SUB-00293,COMP-0293,Professional,monthly,2024-08-17,2025-01-14,Y,726.13,726.13
SUB-00294,COMP-0294,Starter,monthly,2023-11-03,,N,427.12,427.12
SUB-00295,COMP-0295,Enterprise,annual,2023-06-08,,N,7488.21,79586.42
SUB-00296,COMP-0296,Enterprise,annual,2022-11-16,,N,5892.9,60544.08
SUB-00297,COMP-0297,Starter,annual,2023-05-13,2024-09-07,Y,309.97,3338.35
SUB-00298,COMP-0298,Professional,annual,2022-07-20,,N,2142.17,22337.8
SUB-00299,COMP-0299,Professional,monthly,2023-04-26,,N,765.69,765.69
SUB-00300,COMP-0300,Enterprise,monthly,2024-09-19,,N,5182.85,5182.85
SUB-00301,COMP-0301,Starter,annual,2022-11-30,,N,270.85,2889.63
SUB-00302,COMP-0302,Professional,annual,2024-09-30,,N,1736.2,18285.82
SUB-00303,COMP-0303,Starter,monthly,2023-03-21,,N,243.44,243.44
SUB-00304,COMP-0304,Starter,monthly,2025-01-15,,N,386.43,386.43
SUB-00305,COMP-0305,Enterprise,monthly,2024-01-28,2024-07-05,Y,8842.85,8842.85
SUB-00306,COMP-0306,Enterprise,monthly,2022-11-29,,N,7544.95,7544.95
SUB-00307,COMP-0307,Starter,monthly,2024-01-03,,N,195.52,195.52
SUB-00308,COMP-0308,Professional,annual,2023-12-16,,N,1949.02,21853.34
SUB-00309,COMP-0309,Professional,annual,2023-01-13,,N,1468.93,15074.81
SUB-00310,COMP-0310,Enterprise,annual,2024-01-05,,N,6148.68,66224.35
SUB-00311,COMP-0311,Enterprise,annual,2023-12-06,,N,8453.56,91458.43
SUB-00312,COMP-0312,Professional,monthly,2024-03-26,,N,1112.5,1112.5
SUB-00313,COMP-0313,Starter,annual,2023-12-03,,N,389.89,4238.59
SUB-00314,COMP-0314,Starter,annual,2024-10-12,2025-05-08,Y,175.64,1962.21
SUB-00315,COMP-0315,Starter,monthly,2022-07-17,,N,152.06,152.06
SUB-00316,COMP-0316,Professional,monthly,2023-09-29,2024-05-02,Y,1210.26,1210.26
SUB-00317,COMP-0317,Professional,annual,2024-01-06,,N,1766.92,18539.72
SUB-00318,COMP-0318,Professional,annual,2023-07-28,,N,1797.27,19307.73
SUB-00319,COMP-0319,Professional,monthly,2025-01-19,,N,1673.56,1673.56
SUB-00320,COMP-0320,Starter,monthly,2023-01-27,2024-11-22,Y,483.04,483.04
SUB-00321,COMP-0321,Professional,monthly,2023-04-17,,N,1892.32,1892.32
SUB-00322,COMP-0322,Enterprise,monthly,2022-08-23,,N,4485.57,4485.57
SUB-00323,COMP-0323,Professional,annual,2023-07-20,,N,1610.6,19096.53
SUB-00324,COMP-0324,Professional,monthly,2024-05-28,,N,2026.3,2026.3
SUB-00325,COMP-0325,Professional,annual,2024-03-12,,N,1582.46,17293.46
SUB-00326,COMP-0326,Professional,monthly,2023-02-26,,N,950.11,950.11
SUB-00327,COMP-0327,Enterprise,annual,2024-09-23,,N,6715.41,74534.0
SUB-00328,COMP-0328,Starter,monthly,2023-06-21,,N,464.38,464.38
SUB-00329,COMP-0329,Professional,monthly,2023-01-22,2024-12-22,Y,1402.94,1402.94
