ticket_id,company_id,created_date,resolved_date,priority,category,description,satisfaction_score
TKT-000036,COMP-0008,10-29-2024,11-06-2024,high,feature_request,Dark mode support requested,4
TKT-000037,COMP-0008,06-11-2024,06-12-2024,medium,account,Change primary admin contact,5
TKT-000038,COMP-0009,10-11-2024,10-18-2024,low,feature_request,,5
TKT-000039,COMP-0009,05-17-2024,05-26-2024,medium,bug_report,Calendar sync showing wrong timezone,4
TKT-000040,COMP-0009,03-11-2025,03-20-2025,critical,account,Need to merge duplicate accounts,
TKT-000041,COMP-0010,02-02-2025,02-05-2025,low,feature_request,,4
TKT-000042,COMP-0010,06-27-2025,06-30-2025,high,feature_request,Would like bulk import from Excel,3
TKT-000043,COMP-0010,02-09-2025,02-16-2025,critical,feature_request,,
TKT-000044,COMP-0011,03-24-2025,04-01-2025,medium,onboarding,Template setup assistance needed,3
TKT-000045,COMP-0011,11-09-2024,,medium,bug_report,Calendar sync showing wrong timezone,5
TKT-000046,COMP-0011,06-15-2025,06-27-2025,high,technical,Integration with Slack is not syncing,3
TKT-000047,COMP-0011,06-18-2025,06-19-2025,low,feature_request,Custom workflow automation rules,5
TKT-000048,COMP-0012,04-01-2025,04-05-2025,medium,feature_request,Need better reporting filters,3
TKT-000049,COMP-0012,08-31-2024,09-01-2024,medium,onboarding,Migration assistance from competitor tool,
TKT-000050,COMP-0012,12-17-2024,12-18-2024,medium,feature_request,Need better reporting filters,4
TKT-000051,COMP-0012,10-20-2024,10-27-2024,medium,bug_report,Search returning incorrect results,
TKT-000052,COMP-0012,11-20-2024,12-02-2024,medium,technical,Integration with Slack is not syncing,3
TKT-000053,COMP-0012,02-10-2025,02-21-2025,low,feature_request,,4
TKT-000054,COMP-0013,01-21-2025,01-26-2025,high,account,Need to merge duplicate accounts,4
TKT-000055,COMP-0013,01-07-2025,01-20-2025,low,feature_request,Requesting custom field types,2
TKT-000056,COMP-0013,04-27-2025,05-04-2025,medium,feature_request,,1
TKT-000057,COMP-0013,02-14-2024,02-20-2024,low,technical,Error 500 when accessing the dashboard,4
TKT-000058,COMP-0013,02-11-2024,02-13-2024,medium,onboarding,Best practices documentation request,
TKT-000059,COMP-0013,04-09-2024,04-12-2024,low,bug_report,Attachment upload fails over 10 MB,1
TKT-000060,COMP-0014,10-22-2024,11-03-2024,medium,onboarding,Template setup assistance needed,5
TKT-000061,COMP-0014,08-09-2024,08-14-2024,high,feature_request,Requesting custom field types,5
TKT-000062,COMP-0014,06-07-2025,06-15-2025,low,account,Change primary admin contact,5
TKT-000063,COMP-0014,01-31-2025,02-13-2025,low,bug_report,Calendar sync showing wrong timezone,3
TKT-000064,COMP-0014,04-08-2024,04-22-2024,medium,feature_request,Custom workflow automation rules,2
TKT-000065,COMP-0014,01-31-2025,02-01-2025,medium,account,,1
TKT-000066,COMP-0014,02-18-2025,02-27-2025,medium,bug_report,Notifications arriving late,4
TKT-000067,COMP-0015,01-07-2024,01-09-2024,medium,technical,,
TKT-000068,COMP-0015,05-10-2024,05-11-2024,low,billing,Cannot download invoice PDF,4
TKT-000069,COMP-0015,04-10-2025,04-14-2025,medium,onboarding,Training session request for team,4
TKT-000070,COMP-0015,01-27-2025,02-09-2025,high,account,Remove former employee access,4
TKT-000071,COMP-0015,05-19-2024,06-02-2024,medium,bug_report,,
TKT-000072,COMP-0016,03-27-2024,04-02-2024,medium,onboarding,Best practices documentation request,4
TKT-000073,COMP-0016,10-05-2024,10-09-2024,high,feature_request,Dark mode support requested,
TKT-000074,COMP-0016,12-04-2024,12-14-2024,low,feature_request,,1
TKT-000075,COMP-0016,05-01-2024,05-04-2024,critical,technical,Integration with Slack is not syncing,2
TKT-000076,COMP-0017,11-21-2024,11-29-2024,medium,feature_request,Would like bulk import from Excel,2
TKT-000077,COMP-0017,02-02-2025,02-14-2025,critical,technical,Webhook deliveries failing,2
TKT-000078,COMP-0017,02-11-2025,02-24-2025,medium,bug_report,Notifications arriving late,4
TKT-000079,COMP-0017,03-27-2025,03-28-2025,low,account,Need to merge duplicate accounts,1
TKT-000080,COMP-0017,04-03-2025,04-17-2025,medium,feature_request,,2
TKT-000081,COMP-0017,11-05-2024,11-18-2024,medium,bug_report,Calendar sync showing wrong timezone,1
TKT-000082,COMP-0017,03-01-2025,03-11-2025,medium,onboarding,Need help setting up first project,2
TKT-000083,COMP-0017,02-16-2025,,medium,technical,Application loading slowly for our team,1
TKT-000084,COMP-0017,02-17-2025,02-21-2025,high,onboarding,Need help setting up first project,
TKT-000085,COMP-0017,02-28-2025,03-02-2025,high,feature_request,Requesting custom field types,
TKT-000086,COMP-0017,11-04-2024,11-13-2024,medium,account,Remove former employee access,
TKT-000087,COMP-0018,06-15-2024,,low,bug_report,Calendar sync showing wrong timezone,
TKT-000088,COMP-0019,05-09-2024,05-21-2024,low,feature_request,Would like bulk import from Excel,2
TKT-000089,COMP-0019,05-02-2024,05-16-2024,critical,bug_report,,3
TKT-000090,COMP-0019,10-09-2024,10-14-2024,critical,bug_report,Attachment upload fails over 10 MB,2
TKT-000091,COMP-0019,09-08-2024,09-14-2024,high,bug_report,Calendar sync showing wrong timezone,1
TKT-000092,COMP-0019,05-16-2024,05-20-2024,medium,billing,Requesting refund for unused period,
TKT-000093,COMP-0020,01-07-2024,01-14-2024,high,technical,Integration with Slack is not syncing,4
TKT-000094,COMP-0021,08-14-2024,,low,onboarding,Training session request for team,
TKT-000095,COMP-0021,10-28-2024,11-08-2024,low,onboarding,Template setup assistance needed,2
TKT-000096,COMP-0021,06-06-2025,06-08-2025,high,feature_request,Requesting custom field types,2
TKT-000097,COMP-0021,06-14-2024,06-20-2024,medium,bug_report,Drag and drop not working in Chrome,2
TKT-000098,COMP-0022,09-25-2024,09-28-2024,low,technical,Mobile app crashing on iOS 17,4
TKT-000099,COMP-0022,10-27-2024,10-28-2024,medium,billing,Cannot download invoice PDF,2
TKT-000100,COMP-0022,02-11-2025,02-19-2025,high,technical,,
TKT-000101,COMP-0022,12-08-2024,12-18-2024,medium,feature_request,Need better reporting filters,1
TKT-000102,COMP-0022,03-05-2025,03-13-2025,low,technical,Webhook deliveries failing,5
TKT-000103,COMP-0022,09-25-2024,,medium,account,Account permissions not working correctly,4
TKT-000104,COMP-0022,05-02-2025,05-12-2025,medium,account,Remove former employee access,4
TKT-000105,COMP-0023,03-20-2024,03-27-2024,low,onboarding,Best practices documentation request,3
TKT-000106,COMP-0023,06-14-2025,06-17-2025,medium,feature_request,Custom workflow automation rules,
TKT-000107,COMP-0024,06-21-2025,06-30-2025,medium,onboarding,Best practices documentation request,5
TKT-000108,COMP-0024,07-17-2024,07-25-2024,high,feature_request,Requesting custom field types,4
TKT-000109,COMP-0024,05-14-2025,05-22-2025,medium,bug_report,Formatting lost when pasting from Word,4
TKT-000110,COMP-0025,01-06-2025,01-08-2025,low,feature_request,Would like bulk import from Excel,
TKT-000111,COMP-0025,04-19-2024,04-26-2024,MEDIUM,technical,Webhook deliveries failing,4
TKT-000112,COMP-0026,03-20-2024,04-02-2024,LOW,account,Add new team member to account,1
TKT-000113,COMP-0026,01-23-2024,01-31-2024,critical,onboarding,Need help setting up first project,5
TKT-000114,COMP-0026,05-13-2024,05-22-2024,critical,billing,Tax exemption certificate submission,3
TKT-000115,COMP-0026,03-08-2024,03-22-2024,high,onboarding,Template setup assistance needed,3
TKT-000116,COMP-0027,11-21-2024,11-26-2024,medium,billing,,4
TKT-000117,COMP-0027,03-06-2025,03-11-2025,critical,billing,Cannot download invoice PDF,
TKT-000118,COMP-0027,05-08-2024,05-11-2024,medium,feature_request,Need better reporting filters,4
TKT-000119,COMP-0027,05-09-2025,05-22-2025,low,feature_request,Would like bulk import from Excel,3
TKT-000120,COMP-0027,11-26-2024,11-29-2024,low,bug_report,Formatting lost when pasting from Word,3
TKT-000121,COMP-0027,04-13-2025,04-22-2025,high,onboarding,Migration assistance from competitor tool,2
TKT-000122,COMP-0027,08-07-2024,08-19-2024,critical,billing,Invoice discrepancy for last month,
TKT-000123,COMP-0028,02-19-2025,02-26-2025,low,feature_request,Need better reporting filters,4
TKT-000124,COMP-0028,11-22-2024,12-01-2024,medium,bug_report,Search returning incorrect results,3
TKT-000125,COMP-0028,05-23-2025,06-02-2025,medium,technical,Application loading slowly for our team,
TKT-000126,COMP-0028,03-04-2025,03-08-2025,low,bug_report,Formatting lost when pasting from Word,1
TKT-000127,COMP-0028,10-18-2024,10-30-2024,critical,onboarding,Template setup assistance needed,5
TKT-000128,COMP-0028,06-21-2025,06-30-2025,medium,billing,Tax exemption certificate submission,2
TKT-000129,COMP-0029,03-05-2025,03-17-2025,low,technical,Integration with Slack is not syncing,3
TKT-000130,COMP-0029,11-01-2024,11-12-2024,low,technical,Mobile app crashing on iOS 17,1
TKT-000131,COMP-0029,02-20-2024,03-03-2024,medium,account,Need to merge duplicate accounts,4
TKT-000132,COMP-0029,03-06-2024,03-15-2024,medium,bug_report,Drag and drop not working in Chrome,
TKT-000133,COMP-0029,02-16-2024,02-21-2024,critical,onboarding,Need help setting up first project,2
TKT-000134,COMP-0030,06-03-2024,06-13-2024,medium,billing,,5
TKT-000135,COMP-0030,02-15-2024,02-29-2024,medium,billing,Cannot download invoice PDF,5
TKT-000136,COMP-0030,06-06-2025,06-15-2025,high,onboarding,Template setup assistance needed,4
TKT-000137,COMP-0031,03-01-2025,,MEDIUM,bug_report,Drag and drop not working in Chrome,2
TKT-000138,COMP-0032,01-30-2025,02-03-2025,medium,feature_request,Would like bulk import from Excel,5
TKT-000139,COMP-0032,09-27-2024,,high,account,Change primary admin contact,4
TKT-000140,COMP-0033,02-16-2025,02-17-2025,low,bug_report,Formatting lost when pasting from Word,
TKT-000141,COMP-0033,05-24-2024,06-02-2024,medium,technical,Webhook deliveries failing,5
TKT-000142,COMP-0033,06-08-2025,06-21-2025,medium,technical,Application loading slowly for our team,4
TKT-000143,COMP-0033,02-15-2025,02-22-2025,low,onboarding,Template setup assistance needed,4
TKT-000144,COMP-0033,02-29-2024,03-14-2024,low,billing,Cannot download invoice PDF,5
TKT-000145,COMP-0034,02-15-2025,02-17-2025,critical,billing,Tax exemption certificate submission,
TKT-000146,COMP-0034,01-15-2025,01-25-2025,high,onboarding,Training session request for team,4
TKT-000147,COMP-0034,03-03-2025,03-15-2025,high,technical,Mobile app crashing on iOS 17,2
TKT-000148,COMP-0035,08-12-2024,08-19-2024,high,bug_report,Search returning incorrect results,
TKT-000149,COMP-0035,05-13-2024,,high,billing,,5
TKT-000150,COMP-0035,09-22-2024,09-29-2024,low,onboarding,Migration assistance from competitor tool,
TKT-000151,COMP-0035,02-16-2024,,high,technical,Application loading slowly for our team,4
TKT-000152,COMP-0035,07-26-2024,07-27-2024,high,billing,Tax exemption certificate submission,5
TKT-000153,COMP-0036,01-15-2025,01-22-2025,medium,bug_report,,3
TKT-000154,COMP-0037,12-16-2024,12-22-2024,high,feature_request,Need Gantt chart view for projects,3
TKT-000155,COMP-0037,03-16-2025,03-23-2025,critical,billing,Charges not matching the quoted price,4
TKT-000156,COMP-0037,05-05-2025,05-17-2025,medium,feature_request,Dark mode support requested,4
TKT-000157,COMP-0037,12-13-2024,12-20-2024,low,feature_request,Would like bulk import from Excel,3
TKT-000158,COMP-0037,12-24-2024,01-04-2025,high,account,Need to merge duplicate accounts,2
TKT-000159,COMP-0037,11-30-2024,12-05-2024,medium,billing,Charges not matching the quoted price,2
TKT-000160,COMP-0037,12-04-2024,,medium,onboarding,Training session request for team,5
TKT-000161,COMP-0037,04-12-2025,04-16-2025,medium,technical,SSO login failing intermittently,4
TKT-000162,COMP-0037,02-04-2025,02-14-2025,low,onboarding,Need help setting up first project,4
TKT-000163,COMP-0038,11-14-2024,11-28-2024,high,onboarding,Template setup assistance needed,5
TKT-000164,COMP-0038,05-26-2024,05-27-2024,low,bug_report,,
TKT-000165,COMP-0038,06-21-2024,,medium,billing,Requesting refund for unused period,
TKT-000166,COMP-0038,09-10-2024,09-15-2024,low,billing,,5
TKT-000167,COMP-0038,05-25-2024,05-31-2024,high,technical,Webhook deliveries failing,5
TKT-000168,COMP-0038,06-16-2024,06-29-2024,high,billing,Cannot download invoice PDF,3
TKT-000169,COMP-0038,12-15-2024,12-24-2024,high,billing,Invoice discrepancy for last month,
TKT-000170,COMP-0039,05-27-2024,06-04-2024,high,feature_request,Requesting custom field types,4
TKT-000171,COMP-0039,03-08-2024,03-18-2024,critical,onboarding,Need help setting up first project,
TKT-000172,COMP-0039,05-20-2024,05-31-2024,low,account,Account permissions not working correctly,5
TKT-000173,COMP-0039,08-23-2024,08-30-2024,high,bug_report,Formatting lost when pasting from Word,
TKT-000174,COMP-0040,07-08-2024,07-17-2024,medium,bug_report,Calendar sync showing wrong timezone,5
TKT-000175,COMP-0040,09-10-2024,09-13-2024,medium,feature_request,Dark mode support requested,
TKT-000176,COMP-0040,01-07-2024,01-10-2024,high,billing,Billing cycle change request,4
TKT-000177,COMP-0040,06-26-2025,06-29-2025,low,technical,Webhook deliveries failing,2
TKT-000178,COMP-0040,02-03-2024,02-16-2024,low,account,Change primary admin contact,3
TKT-000179,COMP-0040,02-17-2024,02-24-2024,medium,billing,Billing cycle change request,2
TKT-000180,COMP-0041,01-23-2025,02-04-2025,medium,billing,Cannot download invoice PDF,3
TKT-000181,COMP-0042,10-19-2024,10-31-2024,low,feature_request,Need Gantt chart view for projects,4
TKT-000182,COMP-0042,07-31-2024,08-07-2024,high,onboarding,Best practices documentation request,4
TKT-000183,COMP-0042,09-03-2024,09-05-2024,medium,account,Add new team member to account,5
TKT-000184,COMP-0043,01-06-2024,01-12-2024,critical,technical,Mobile app crashing on iOS 17,4
TKT-000185,COMP-0044,05-02-2025,,low,billing,Tax exemption certificate submission,1
TKT-000186,COMP-0044,01-08-2024,01-14-2024,low,feature_request,,5
TKT-000187,COMP-0044,06-20-2024,06-27-2024,low,bug_report,Drag and drop not working in Chrome,3
TKT-000188,COMP-0044,07-05-2024,07-06-2024,medium,bug_report,,5
TKT-000189,COMP-0045,12-22-2024,12-30-2024,low,billing,Requesting refund for unused period,
TKT-000190,COMP-0045,01-11-2024,01-16-2024,medium,billing,Cannot download invoice PDF,4
TKT-000191,COMP-0045,11-03-2024,11-15-2024,high,bug_report,,
TKT-000192,COMP-0046,04-02-2025,04-08-2025,medium,onboarding,Migration assistance from competitor tool,4
TKT-000193,COMP-0046,10-07-2024,10-15-2024,low,account,Account permissions not working correctly,5
TKT-000194,COMP-0046,06-17-2025,06-27-2025,critical,technical,Webhook deliveries failing,3
TKT-000195,COMP-0047,06-10-2025,06-13-2025,medium,feature_request,Need better reporting filters,4
TKT-000196,COMP-0047,06-11-2025,06-17-2025,low,bug_report,Drag and drop not working in Chrome,
TKT-000197,COMP-0047,05-10-2025,05-15-2025,high,technical,Integration with Slack is not syncing,2
TKT-000198,COMP-0047,06-24-2025,,low,feature_request,Requesting custom field types,3
TKT-000199,COMP-0047,06-22-2025,,low,onboarding,Best practices documentation request,4
TKT-000200,COMP-0048,06-05-2024,06-07-2024,high,technical,Mobile app crashing on iOS 17,4
TKT-000201,COMP-0048,08-06-2024,08-17-2024,high,billing,,4
TKT-000202,COMP-0048,12-09-2024,12-11-2024,critical,technical,SSO login failing intermittently,
TKT-000203,COMP-0048,08-05-2024,08-06-2024,medium,account,Need to merge duplicate accounts,
TKT-000204,COMP-0048,04-03-2024,04-07-2024,medium,feature_request,Need Gantt chart view for projects,5
TKT-000205,COMP-0048,02-14-2025,02-15-2025,medium,onboarding,Migration assistance from competitor tool,
TKT-000206,COMP-0049,12-13-2024,12-22-2024,high,account,Need to merge duplicate accounts,5
TKT-000207,COMP-0049,09-23-2024,10-06-2024,low,account,Account permissions not working correctly,4
TKT-000208,COMP-0050,10-07-2024,10-08-2024,low,billing,Billing cycle change request,4
TKT-000209,COMP-0050,06-30-2024,07-08-2024,low,feature_request,Need Gantt chart view for projects,4
TKT-000210,COMP-0050,03-27-2024,04-06-2024,medium,account,Account permissions not working correctly,5
TKT-000211,COMP-0050,05-23-2025,06-04-2025,critical,technical,Integration with Slack is not syncing,3
TKT-000212,COMP-0050,09-01-2024,09-07-2024,low,technical,Mobile app crashing on iOS 17,5
TKT-000213,COMP-0050,06-19-2025,06-30-2025,high,onboarding,Training session request for team,3
TKT-000214,COMP-0050,05-27-2024,06-04-2024,high,account,Add new team member to account,5
TKT-000215,COMP-0051,01-04-2024,01-12-2024,critical,billing,Tax exemption certificate submission,
TKT-000216,COMP-0051,03-12-2025,03-23-2025,high,bug_report,Search returning incorrect results,4
TKT-000217,COMP-0051,04-16-2025,04-20-2025,low,billing,Tax exemption certificate submission,4
TKT-000218,COMP-0051,06-07-2024,06-11-2024,medium,technical,SSO login failing intermittently,4
TKT-000219,COMP-0051,03-26-2025,04-07-2025,high,billing,Need to update payment method on file,5
TKT-000220,COMP-0051,05-08-2025,05-15-2025,low,onboarding,Need help setting up first project,4
TKT-000221,COMP-0052,03-14-2025,03-27-2025,low,account,Need to merge duplicate accounts,5
TKT-000222,COMP-0052,03-19-2025,03-30-2025,low,bug_report,,
TKT-000223,COMP-0052,04-21-2025,04-23-2025,low,bug_report,Drag and drop not working in Chrome,3
TKT-000224,COMP-0052,09-08-2024,09-13-2024,high,feature_request,Requesting custom field types,
TKT-000225,COMP-0052,04-26-2024,04-29-2024,critical,feature_request,Need better reporting filters,5
TKT-000226,COMP-0052,02-15-2025,03-01-2025,medium,account,Remove former employee access,3
TKT-000227,COMP-0052,01-29-2025,02-11-2025,critical,technical,Integration with Slack is not syncing,3
TKT-000228,COMP-0053,05-23-2025,06-01-2025,medium,technical,Application loading slowly for our team,
TKT-000229,COMP-0053,06-18-2025,,medium,technical,Error 500 when accessing the dashboard,5
TKT-000230,COMP-0053,06-22-2025,06-30-2025,high,billing,Charges not matching the quoted price,
TKT-000231,COMP-0053,05-03-2025,05-14-2025,low,billing,Charges not matching the quoted price,5
TKT-000232,COMP-0053,05-26-2025,06-02-2025,medium,onboarding,Migration assistance from competitor tool,5
TKT-000233,COMP-0054,01-24-2024,02-05-2024,medium,account,,5
TKT-000234,COMP-0054,04-22-2025,05-06-2025,critical,technical,API rate limit being hit unexpectedly,
TKT-000235,COMP-0054,09-24-2024,10-06-2024,high,technical,Application loading slowly for our team,3
TKT-000236,COMP-0054,06-29-2025,06-30-2025,high,account,Remove former employee access,
TKT-000237,COMP-0054,05-20-2024,05-31-2024,medium,feature_request,Custom workflow automation rules,3
TKT-000238,COMP-0054,02-26-2024,03-04-2024,critical,technical,SSO login failing intermittently,5
TKT-000239,COMP-0054,01-03-2025,01-07-2025,medium,onboarding,Need help setting up first project,5
TKT-000240,COMP-0054,01-30-2025,01-31-2025,medium,technical,Application loading slowly for our team,2
TKT-000241,COMP-0054,08-14-2024,08-17-2024,low,account,Change primary admin contact,2
TKT-000242,COMP-0055,08-25-2024,09-07-2024,critical,feature_request,Custom workflow automation rules,3
TKT-000243,COMP-0055,11-25-2024,12-05-2024,low,billing,Invoice discrepancy for last month,3
TKT-000244,COMP-0055,10-20-2024,10-31-2024,medium,technical,Application loading slowly for our team,2
TKT-000245,COMP-0056,08-05-2024,08-16-2024,high,account,Add new team member to account,3
TKT-000246,COMP-0056,08-17-2024,08-27-2024,high,technical,SSO login failing intermittently,4
TKT-000247,COMP-0056,07-23-2024,07-30-2024,high,feature_request,,1
TKT-000248,COMP-0056,08-24-2024,08-29-2024,medium,bug_report,Drag and drop not working in Chrome,4
TKT-000249,COMP-0056,09-18-2024,,medium,feature_request,Dark mode support requested,1
TKT-000250,COMP-0056,06-04-2024,06-17-2024,low,onboarding,Template setup assistance needed,1
TKT-000251,COMP-0056,06-07-2024,06-10-2024,medium,billing,Billing cycle change request,2
TKT-000252,COMP-0056,07-22-2024,07-31-2024,medium,onboarding,Migration assistance from competitor tool,4
TKT-000253,COMP-0056,09-03-2024,09-12-2024,critical,onboarding,Template setup assistance needed,1
TKT-000254,COMP-0057,05-25-2025,05-31-2025,high,onboarding,Best practices documentation request,4
TKT-000255,COMP-0057,02-01-2024,02-06-2024,medium,account,Account permissions not working correctly,
TKT-000256,COMP-0057,07-14-2024,07-27-2024,medium,feature_request,Need better reporting filters,4
TKT-000257,COMP-0058,09-04-2024,09-05-2024,medium,account,Add new team member to account,
TKT-000258,COMP-0058,01-02-2025,01-14-2025,medium,technical,Webhook deliveries failing,3
TKT-000259,COMP-0058,04-26-2024,05-10-2024,low,feature_request,Need better reporting filters,1
TKT-000260,COMP-0058,01-02-2024,01-10-2024,low,onboarding,Template setup assistance needed,3
TKT-000261,COMP-0058,05-22-2025,05-23-2025,critical,onboarding,Need help setting up first project,4
TKT-000262,COMP-0059,02-12-2025,02-13-2025,low,bug_report,Formatting lost when pasting from Word,1
TKT-000263,COMP-0060,10-21-2024,11-03-2024,medium,feature_request,Need better reporting filters,
TKT-000264,COMP-0060,11-24-2024,12-02-2024,low,account,Remove former employee access,3
TKT-000265,COMP-0060,03-09-2025,03-22-2025,high,bug_report,Calendar sync showing wrong timezone,2
TKT-000266,COMP-0060,09-16-2024,09-25-2024,medium,technical,Data export timing out for large datasets,
TKT-000267,COMP-0060,08-22-2024,08-26-2024,medium,technical,Webhook deliveries failing,3
TKT-000268,COMP-0060,01-15-2025,01-26-2025,medium,technical,Data export timing out for large datasets,2
TKT-000269,COMP-0060,11-14-2024,11-16-2024,high,account,Remove former employee access,4
TKT-000270,COMP-0061,01-18-2024,01-30-2024,critical,feature_request,Need Gantt chart view for projects,2
TKT-000271,COMP-0061,04-22-2025,04-27-2025,low,onboarding,Template setup assistance needed,5
TKT-000272,COMP-0061,10-04-2024,10-09-2024,low,technical,,5
TKT-000273,COMP-0061,04-09-2025,04-17-2025,high,bug_report,Calendar sync showing wrong timezone,5
TKT-000274,COMP-0061,11-18-2024,11-26-2024,medium,account,Remove former employee access,3
TKT-000275,COMP-0061,12-13-2024,12-23-2024,low,feature_request,Dark mode support requested,5
TKT-000276,COMP-0062,05-16-2024,05-30-2024,high,billing,,3
TKT-000277,COMP-0063,01-14-2025,01-18-2025,low,account,,3
TKT-000278,COMP-0063,02-01-2025,02-04-2025,medium,account,Change primary admin contact,
TKT-000279,COMP-0064,05-31-2025,06-08-2025,low,feature_request,,5
TKT-000280,COMP-0064,07-06-2024,07-13-2024,medium,account,Remove former employee access,2
TKT-000281,COMP-0064,05-27-2024,05-31-2024,low,billing,,4
TKT-000282,COMP-0064,04-20-2024,05-04-2024,low,billing,,
TKT-000283,COMP-0064,08-25-2024,08-30-2024,MEDIUM,account,Account permissions not working correctly,
TKT-000284,COMP-0064,08-12-2024,08-17-2024,critical,technical,Integration with Slack is not syncing,5
TKT-000285,COMP-0064,01-23-2024,01-24-2024,medium,feature_request,Custom workflow automation rules,5
TKT-000286,COMP-0065,01-02-2024,01-10-2024,medium,technical,Data export timing out for large datasets,2
TKT-000287,COMP-0065,12-21-2024,12-29-2024,high,feature_request,Custom workflow automation rules,5
TKT-000288,COMP-0065,06-21-2024,06-26-2024,medium,technical,Webhook deliveries failing,3
TKT-000289,COMP-0065,03-15-2025,03-24-2025,medium,technical,Application loading slowly for our team,4
TKT-000290,COMP-0065,04-16-2025,,high,onboarding,Migration assistance from competitor tool,2
TKT-000291,COMP-0065,03-27-2025,04-08-2025,medium,feature_request,Custom workflow automation rules,3
TKT-000292,COMP-0065,10-28-2024,11-03-2024,high,billing,Tax exemption certificate submission,3
TKT-000293,COMP-0066,01-21-2025,01-25-2025,medium,account,Add new team member to account,
TKT-000294,COMP-0066,04-06-2025,04-15-2025,medium,technical,Integration with Slack is not syncing,4
TKT-000295,COMP-0066,11-22-2024,11-28-2024,low,billing,Tax exemption certificate submission,3
TKT-000296,COMP-0067,10-12-2024,10-18-2024,low,onboarding,Migration assistance from competitor tool,5
TKT-000297,COMP-0067,05-23-2025,05-31-2025,critical,billing,Requesting refund for unused period,
TKT-000298,COMP-0067,10-07-2024,10-19-2024,medium,onboarding,Template setup assistance needed,2
TKT-000299,COMP-0067,06-02-2024,06-11-2024,low,onboarding,Need help setting up first project,3
TKT-000300,COMP-0067,01-19-2024,01-31-2024,low,bug_report,Search returning incorrect results,
TKT-000301,COMP-0067,06-28-2024,07-11-2024,medium,feature_request,Would like bulk import from Excel,5
TKT-000302,COMP-0068,05-27-2025,06-03-2025,low,billing,Invoice discrepancy for last month,
TKT-000303,COMP-0068,01-20-2025,01-22-2025,medium,billing,Charges not matching the quoted price,4
TKT-000304,COMP-0068,12-04-2024,,low,technical,Error 500 when accessing the dashboard,3
